Rank,Release Group,Worldwide,Domestic,%,Foreign,%
210,José,"$26,563","$26,563",100%,-,-
211,Unsubscribe,"$25,488","$25,488",100%,-,-
212,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
213,Stage Mother,"$24,736",-,-,"$24,736",100%
214,Heart of Africa,"$24,139","$24,139",100%,-,-
215,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
216,Premature,"$23,071","$23,071",100%,-,-
217,L'Innocente,"$22,549","$22,549",100%,-,-
218,The Pale Door,"$21,580",-,-,"$21,580",100%
219,Lore,"$20,006","$20,006",100%,-,-
220,Foster Boy,"$19,873","$19,873",100%,-,-
221,Made in Hong Kong,"$17,843","$17,843",100%,-,-
222,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
223,Advocate,"$16,942","$16,942",100%,-,-
224,Tar,"$16,447","$16,447",100%,-,-
225,Centigrade,"$16,263","$16,263",100%,-,-
226,Straight Up,"$16,080","$16,080",100%,-,-
227,The Bay of Silence,"$15,889","$1,941",12.2%,"$13,948",87.8%
228,American Deep State,"$15,269","$15,269",100%,-,-
229,"I Was at Home, But...","$14,078","$14,078",100%,-,-
230,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
231,The Grizzlies,"$11,650","$11,650",100%,-,-
232,Powerbomb,"$11,319","$11,319",100%,-,-
233,Draupadi Unleashed,"$11,317","$11,317",100%,-,-
234,Lost in America,"$11,301","$11,301",100%,-,-
235,She Is the Ocean,"$11,212","$11,212",100%,-,-
236,You Go to My Head,"$10,682","$10,682",100%,-,-
237,Guest Artist,"$10,017","$10,017",100%,-,-
238,Foosballers,"$9,966","$9,966",100%,-,-
239,Just One More Kiss,"$9,130","$9,130",100%,-,-
240,LX 2048,"$8,393",-,-,"$8,393",100%
241,Inside the Rain,"$8,140","$8,140",100%,-,-
242,The Wave,"$8,101","$8,101",100%,-,-
243,I AM PATRICK,"$7,880",-,-,"$7,880",100%
244,Valley Girl,"$7,671",-,-,"$7,671",100%
245,The Other Lamb,"$7,385","$6,024",81.6%,"$1,361",18.4%
246,I Am Woman,"$7,282",-,-,"$7,282",100%
247,Dreaming Grand Avenue,"$7,015","$7,015",100%,-,-
248,I Am Lisa,"$6,986","$6,986",100%,-,-
249,What We Found,"$6,976","$6,976",100%,-,-
250,Shithouse,"$6,859","$6,859",100%,-,-
251,Human Capital,"$6,596","$6,596",100%,-,-
252,12 Hour Shift,"$6,583","$6,583",100%,-,-
253,Afterward,"$6,477","$6,477",100%,-,-
254,In the Life of Music,"$5,772","$5,772",100%,-,-
255,Sex and the Future,"$5,745","$5,745",100%,-,-
256,Still Here,"$5,268","$5,268",100%,-,-
257,Lie Exposed,"$5,140","$5,140",100%,-,-
258,Ottolenghi and the Cakes of Versailles,"$4,962","$4,962",100%,-,-
259,Find Your Voice,"$4,816","$4,816",100%,-,-
260,King's Gambit,"$3,816","$3,816",100%,-,-
261,Moondance,"$2,371","$2,371",100%,-,-
